"Function","noise_level","test_id","bias","variance","mse"
"func_cos",0.1,1,0.0352778724611523,0.0338190810251043,0.0350636093104897
"func_cos",0.1,2,-0.761440313952555,0.854287930731873,1.43407928244404
"func_cos",0.1,3,-0.0776748729987917,0.234402074110153,0.240435460005531
"func_cos",0.1,4,-0.468811905805704,0.460581408798845,0.680366011824021
"func_cos",0.1,5,0.151636248612997,0.0153902911718809,0.0383838430653035
"func_cos",0.1,6,-0.331603566255587,0.87332485491983,0.983285780073253
"func_cos",0.1,7,0.0417312429228658,0.37793619612978,0.379677692765667
"func_cos",0.1,8,-0.350458667296739,0.177257265124273,0.300078542607679
"func_cos",0.1,9,-0.122996008307103,0.444355667141892,0.459483685201373
"func_cos",0.1,10,0.11724099203395,0.0183916525391215,0.0321371027522263
"func_cos",0.1,11,-0.093644103505639,0.0333364501269873,0.0421056682483622
"func_cos",0.1,12,0.264399569389324,0.0100021863724998,0.0799093186657598
"func_cos",0.1,13,0.22608646454749,0.026050803988099,0.0771658934396826
"func_cos",0.1,14,-0.355444201155326,0.232575375676,0.358915955810947
"func_cos",0.1,15,-0.358155038188657,0.260892645743691,0.389167677123609
"func_cos",0.1,16,-0.272219456510374,0.200204551087116,0.274307983589919
"func_cos",0.1,17,-0.511745079302751,0.49665293505827,0.758535961248849
"func_cos",0.1,18,0.0964571161253775,0.0498830999567683,0.0591870752079929
"func_cos",0.1,19,-0.496273031871174,0.56532330810775,0.811610230270357
"func_cos",0.1,20,0.254791604757161,0.0107963055435701,0.0757150673982993
"func_cos",0.1,21,0.0755861301111907,0.0606907848520289,0.0664040479172147
"func_cos",0.1,22,-0.0354535861402329,0.266101520141741,0.267358476911944
"func_cos",0.1,23,-0.354024386557779,0.187427203901827,0.312760470179439
"func_cos",0.1,24,0.125242085090092,0.014062956007588,0.0297485358853019
"func_cos",0.1,25,-0.0338894585882252,0.0217882223849337,0.0229367177883367
"func_cos",0.1,26,0.264215861379982,0.0101436737147601,0.0799536951195262
"func_cos",0.1,27,0.27826668064165,0.0102563695127702,0.0876887150680921
"func_cos",0.1,28,-0.105522745624225,0.419004617838475,0.43013966768255
"func_cos",0.1,29,-0.0142711322693793,0.050044100791647,0.0502477660078971
"func_cos",0.1,30,0.280415552997453,0.0100821904759914,0.0887150728388588
"func_cos",0.1,31,0.20575867089083,0.0219650469341995,0.0643016775809604
"func_cos",0.1,32,-0.231096968432551,0.318647666286732,0.372053475105447
"func_cos",0.1,33,0.223141168121402,0.0160553959002579,0.0658473768108418
"func_cos",0.1,34,0.279150791994089,0.0133711884940755,0.0912963531650029
"func_cos",0.1,35,-0.0835585241302977,0.241763389177587,0.248745416132421
"func_cos",0.1,36,0.21218710208627,0.0101961981445403,0.0552195644363093
"func_cos",0.1,37,-0.106741629206669,0.236228581754242,0.247622357159936
"func_cos",0.1,38,0.0501737667272054,0.0328161651504185,0.0353335720180146
"func_cos",0.1,39,0.267825620728638,0.00986109159720238,0.0815916547158824
"func_cos",0.1,40,-0.129692145100977,0.18574858553024,0.202568638031132
"func_cos",0.1,41,-0.156744944819757,0.263529889411585,0.288098867138133
"func_cos",0.1,42,-0.450224828968994,0.231564901257261,0.434267297877421
"func_cos",0.1,43,0.19905632939012,0.0415202265894221,0.0811436488596901
"func_cos",0.1,44,-0.0504668592342648,0.0692919766857956,0.0718388805667667
"func_cos",0.1,45,0.285693826283378,0.00995281402623454,0.0915737764026717
"func_cos",0.1,46,-0.204976440893863,0.359123021710771,0.401138363032287
"func_cos",0.1,47,-0.715071993153718,1.31859750200607,1.8299254573989
"func_cos",0.1,48,0.220219649350823,0.0207846818315229,0.0692813757917224
"func_cos",0.1,49,0.179291368201643,0.0157759433834509,0.0479213380950679
"func_cos",0.1,50,-0.0655526423483751,0.344067352216983,0.348364501135837
"func_cos",0.1,51,-0.10001936099994,0.13011802782821,0.140121900403046
"func_cos",0.1,52,0.189569318645348,0.0108477939209965,0.0467843204926581
"func_cos",0.1,53,-0.115593353339279,0.128741140738684,0.142102964074904
"func_cos",0.1,54,0.209850368398327,0.0204222821110558,0.0644594592279694
"func_cos",0.1,55,0.154019226086513,0.0161097843981581,0.0398317064024465
"func_cos",0.1,56,-0.451765661260382,0.191412481885713,0.395504694579743
