"Function","test_id","bias","variance","mse"
"func_poly_deg1",1,-0.0920854861235609,0.0154665978111642,0.0239463345657767
"func_poly_deg1",2,-0.0682386911147294,0.00927868932954525,0.0139352082945967
"func_poly_deg1",3,-0.0497980470512658,0.00950515136935691,0.011984996859477
"func_poly_deg1",4,-0.105390706394145,0.0339548404857196,0.0450620414799765
"func_poly_deg1",5,-0.0755562776845968,0.0074945187357516,0.0132032698333035
"func_poly_deg1",6,-0.088722789764837,0.0192514231968454,0.0271231566205009
"func_poly_deg1",7,-0.0757181403464009,0.0280323571480758,0.0337655939255931
"func_poly_deg1",8,-0.051550239048436,0.0191271457990492,0.021784572945
"func_poly_deg1",9,-0.0494357968992993,0.0103972397846535,0.0128411377997223
"func_poly_deg1",10,-0.0683473540467883,0.0104730998407147,0.0151444606459117
"func_poly_deg1",11,-0.0325296919635031,0.00832210653153668,0.00938028739077707
"func_poly_deg1",12,-0.0375038917152218,0.00468247467354794,0.00608901656733503
"func_poly_deg1",13,-0.0501153408817559,0.00804406468999206,0.0105556120816867
"func_poly_deg1",14,-0.0461913170791095,0.00808515763129019,0.010218795404793
"func_poly_deg1",15,-0.0737853166665832,0.00615553478965056,0.0115998077452385
"func_poly_deg1",16,-0.0498976788562834,0.0123712572320518,0.0148610355872966
"func_poly_deg1",17,-0.0474345921729289,0.00675474798457968,0.00900478851919177
"func_poly_deg1",18,-0.0318339432281065,0.00824541409066066,0.00925881403211097
"func_poly_deg1",19,-0.125190491485328,0.0145364258735829,0.0302090850319209
"func_poly_deg1",20,-0.0561955927918372,0.0139216409020563,0.0170795855512823
"func_poly_deg1",21,-0.0563344663741588,0.012279926914514,0.0154534990161752
"func_poly_deg1",22,-0.0574532444286577,0.00845274014988316,0.0117536154452623
"func_poly_deg1",23,-0.0559886963056017,0.0151147872570031,0.018249521371004
"func_poly_deg1",24,-0.0696460051718255,0.0273080741044952,0.0321586401408892
"func_poly_deg1",25,-0.061470284062906,0.0115410789252577,0.015319674748032
"func_poly_deg1",26,-0.0413767188341067,0.00878588168247512,0.0104979145439518
"func_poly_deg1",27,-0.143177489358269,0.0229395356237929,0.0434393290827301
"func_poly_deg1",28,-0.04547430995342,0.0092100966389324,0.0112780095046721
"func_poly_deg1",29,-0.051901947733814,0.00670768709712936,0.00940149927569292
"func_poly_deg1",30,-0.138268591595536,0.0165252407090534,0.0356434441308664
"func_poly_deg1",31,-0.0499670524203074,0.0112636144384262,0.0137603207659999
"func_poly_deg1",32,-0.059797399953212,0.0118570119560641,0.0154327409972285
"func_poly_deg1",33,-0.0637726247837021,0.00583672466271206,0.00990367233451491
"func_poly_deg1",34,-0.0577781505171971,0.0203647618410277,0.0237030765182156
"func_poly_deg1",35,-0.039297880945762,0.0112786457299401,0.0128229691767674
"func_poly_deg1",36,-0.0512111344926593,0.00642757957534982,0.00905015987137506
"func_poly_deg1",37,-0.0584746038364766,0.01933094546774,0.0227502247615729
"func_poly_deg1",38,-0.0666199218684452,0.0154534826790305,0.0198916966687883
"func_poly_deg1",39,-0.0607724252936473,0.00769231509671216,0.0113856027727841
"func_poly_deg1",40,-0.058391574771829,0.0096832481369836,0.0130928241413177
"func_poly_deg1",41,-0.0444641251002853,0.00607394335312652,0.00805100177406035
"func_poly_deg1",42,-0.0576378366764958,0.00647310177971073,0.00979522199645714
"func_poly_deg1",43,-0.0569145980311823,0.0144312629869452,0.0176705344559962
"func_poly_deg1",44,-0.062080908724086,0.0118225263959943,0.0156765656240026
"func_poly_deg1",45,-0.0862969968505314,0.0167036004966454,0.024150772162066
"func_poly_deg1",46,-0.0768408659888548,0.0108429544177969,0.0167474731037141
"func_poly_deg1",47,-0.100317381152618,0.0123914798900927,0.0224550568514124
"func_poly_deg1",48,-0.0778192411305611,0.00835064200707155,0.014406476297208
"func_poly_deg1",49,-0.0571121793939659,0.0175300797637492,0.0207918807988777
"func_poly_deg1",50,-0.0881742325811546,0.0256089092395495,0.0333836045308251
"func_poly_deg1",51,-0.0662947500059969,0.0277780536715109,0.0321730475498685
"func_poly_deg1",52,-0.0605186752059842,0.0195337106052886,0.023196220653976
"func_poly_deg1",53,-0.0427577148270851,0.00485580212392959,0.00668402430116392
"func_poly_deg1",54,-0.073116512914515,0.0315784511699075,0.0369244756306859
"func_poly_deg1",55,-0.0985391644123132,0.0155080191637574,0.0252179860868343
"func_poly_deg1",56,-0.0406189753476113,0.00651126925014454,0.00816117040843439
"func_poly_deg1",57,-0.0305941486920533,0.00691402234376458,0.00785002427795605
"func_poly_deg1",58,-0.0683641130989388,0.0153044186853397,0.0199780706451442
"func_poly_deg1",59,-0.0649201736847806,0.0121296931455528,0.0163443220968148
"func_poly_deg1",60,-0.0840116254522757,0.00974614831769452,0.016804101528828
"func_poly_deg1",61,-0.0670646164994069,0.0168274700902165,0.021325132876429
"func_poly_deg1",62,-0.122875907788389,0.028890965464745,0.0439894541795658
"func_poly_deg1",63,-0.0817748587564656,0.0673833394381114,0.0740704669627513
"func_poly_deg1",64,-0.035700084786487,0.0204271780303339,0.0217016740840963
"func_poly_deg1",65,-0.0527718758140333,0.0143089286570863,0.017093799534018
"func_poly_deg1",66,-0.0734218923371984,0.0172447294482783,0.0226355037226535
"func_poly_deg1",67,-0.0332561542712513,0.00880093237171683,0.0099069041686301
"func_poly_deg1",68,-0.0489413438947531,0.0172745627724278,0.0196698179146523
"func_poly_deg1",69,-0.0421429779288452,0.00696410740900245,0.00874013799771358
"func_poly_deg1",70,-0.0601709325337758,0.00564998869684777,0.00927052981883197
"func_poly_deg1",71,-0.0845904767040755,0.006742434496637,0.0138979832456597
"func_poly_deg1",72,-0.0681476048717536,0.0285822659554338,0.0332263620051904
"func_poly_deg1",73,-0.106102083696359,0.0244004471995115,0.0356580993642208
"func_poly_deg1",74,-0.0369282569559019,0.00624785781313496,0.00761155397493608
"func_poly_deg1",75,-0.0582239517526785,0.0167214079291761,0.0201114364868743
"func_poly_deg1",76,-0.0808023400284351,0.0145738706009582,0.021102888755029
"func_poly_deg1",77,-0.0747984359013544,0.0103419341373741,0.0159367401506632
"func_poly_deg1",78,-0.0713464519390635,0.0107021343066533,0.0157924505109464
"func_poly_deg1",79,-0.0366411359241702,0.00799412277092118,0.0093366956127347
"func_poly_deg1",80,-0.0487861406852514,0.00674519655400413,0.00912528407696527
"func_poly_deg1",81,-0.0501704920596015,0.00816207246995613,0.0106791507434587
"func_poly_deg1",82,-0.103166739947074,0.0224675445251411,0.0331109207564483
"func_poly_deg1",83,-0.0661373562051332,0.0124905903819828,0.0168647402677874
"func_poly_deg1",84,-0.0468579827969845,0.0105327953525073,0.0127284659043097
"func_poly_deg1",85,-0.0752052725069814,0.0147953390398673,0.0204511720527166
"func_poly_deg1",86,-0.0558508728001418,0.00810000935511793,0.0112193293476555
"func_poly_deg1",87,-0.0679067634343939,0.0134129050932489,0.0180242336133836
"func_poly_deg1",88,-0.0522958639047686,0.0113127258476454,0.0140475832291915
"func_poly_deg1",89,-0.0546578163345962,0.00655388253574616,0.00954135942221262
"func_poly_deg1",90,-0.0523454870567592,0.0088546911643069,0.0115947411795162
"func_poly_deg1",91,-0.0197804974427966,0.0124703876489724,0.0128616557280569
"func_poly_deg1",92,-0.0504724365860015,0.011452549975506,0.0140000168304339
"func_poly_deg1",93,-0.0345028813815039,0.00966170362156692,0.0108521524451931
"func_poly_deg1",94,-0.0968758555641441,0.0215143118890762,0.0308992432803611
"func_poly_deg1",95,-0.0464529258880762,0.0105856487662241,0.0127435230897872
"func_poly_deg1",96,-0.0747814213339361,0.00964499677102407,0.0152372577477478
"func_poly_deg1",97,-0.0623500835138607,0.00846278397526508,0.0123503168894505
"func_poly_deg1",98,-0.0640571302809282,0.00910317255760731,0.0132064884974351
"func_poly_deg1",99,-0.0592836630438892,0.00712184579341034,0.0106363984973117
"func_poly_deg1",100,-0.0651874517893231,0.00762663399611369,0.011876037866899
"func_poly_deg2",1,-0.108895855172619,0.117272828309263,0.129131135583039
"func_poly_deg2",2,-0.126173586010968,0.0748794571222264,0.0907992309290935
"func_poly_deg2",3,-0.189190432033131,0.0701722041091817,0.105965223682064
"func_poly_deg2",4,-0.155955291368766,0.111928798563784,0.136250851469701
"func_poly_deg2",5,-0.0167264668101315,0.0182052417221611,0.0184850164141115
"func_poly_deg2",6,-0.0838027257719168,0.0404879269091023,0.0475108237559054
"func_poly_deg2",7,-0.0053840163516527,0.0252480069887171,0.0252769946207919
"func_poly_deg2",8,-0.0875602499421365,0.117306448618425,0.124973245988354
"func_poly_deg2",9,0.0169280715390789,0.0171971529635785,0.0174837125696106
"func_poly_deg2",10,-0.216788825540417,0.147171485806118,0.194168880685311
"func_poly_deg2",11,-0.0369981336717161,0.0179091977308556,0.0192780596260458
"func_poly_deg2",12,-0.10774329600381,0.0522643297527918,0.0638729475865565
"func_poly_deg2",13,-0.0691861796315328,0.0228647061293091,0.0276514335813158
"func_poly_deg2",14,-0.0139930526802863,0.00939406601275941,0.00958987153607268
"func_poly_deg2",15,-0.0157500426030856,0.0474534432724802,0.0477015071144792
"func_poly_deg2",16,0.0537262654037782,0.014441492162459,0.0173280037566962
"func_poly_deg2",17,0.00837169915244534,0.024508130667072,0.0245782160137711
"func_poly_deg2",18,0.0239510443880676,0.0224985932780061,0.0230722458052853
"func_poly_deg2",19,0.0572508340626685,0.00717399459833394,0.0104516525992051
"func_poly_deg2",20,-0.178642434395304,0.0585036136596059,0.0904167330262864
"func_poly_deg2",21,-0.0353565994967159,0.0130739783875554,0.0143240675155266
"func_poly_deg2",22,-0.195873687041988,0.0902445291937415,0.128611030469164
"func_poly_deg2",23,-0.0160261683871617,0.0313641948220229,0.0316210328951965
"func_poly_deg2",24,-0.000702213778932148,0.0140653056180361,0.0140657987222274
"func_poly_deg2",25,-0.00498166348563245,0.0139924347501657,0.0140172517212497
"func_poly_deg2",26,-0.133800591415022,0.0988562360734312,0.116758834336441
"func_poly_deg2",27,-0.0124006452710851,0.0178493439733554,0.0180031199764947
"func_poly_deg2",28,0.00213898430164183,0.0250545895801593,0.0250591648340019
"func_poly_deg2",29,-0.108593774472106,0.0961009714101991,0.107893579264298
"func_poly_deg2",30,-0.201459653653606,0.102403768480512,0.142989760530743
"func_poly_deg2",31,-0.097090142437136,0.0333424505042441,0.0427689462627075
"func_poly_deg2",32,-0.0648575003790989,0.0433071865298764,0.0475136818853013
"func_poly_deg2",33,0.0342454307790895,0.0132193198939129,0.0143920694231584
"func_poly_deg2",34,0.024397363631448,0.0237065636268827,0.0243017949790478
"func_poly_deg2",35,-0.157357928489294,0.0710900984829636,0.0958516161414053
"func_poly_deg2",36,-0.131701287049425,0.0748693620352289,0.0922145910457039
"func_poly_deg2",37,0.0245789797797766,0.0143131834201856,0.0149173096672002
"func_poly_deg2",38,-0.321568990059118,0.331090636550863,0.434497251918504
"func_poly_deg2",39,-0.127516889928432,0.0910592487713314,0.107319805988351
"func_poly_deg2",40,-0.0531999480197193,0.121491828855749,0.124322063325049
"func_poly_deg2",41,-0.15545965431069,0.062739553747171,0.0869072578655701
"func_poly_deg2",42,-0.147959939461344,0.0607708068655511,0.0826629505509557
"func_poly_deg2",43,-0.0154145175299678,0.0104875146900155,0.0107251220406972
"func_poly_deg2",44,-0.247127537139101,0.07312926598069,0.134201285593128
"func_poly_deg2",45,-0.235689963646071,0.112628137033384,0.168177895996871
"func_poly_deg2",46,-0.0887437149746095,0.170684781309737,0.178560228257232
"func_poly_deg2",47,-0.130813681917435,0.0824706909111415,0.0995829102879372
"func_poly_deg2",48,0.00337727047624653,0.0183492693113311,0.0183606752672008
"func_poly_deg2",49,-0.039594599365826,0.0259478270047141,0.0275155593036544
"func_poly_deg2",50,-0.087059945387919,0.0639802876525417,0.0715597217434891
"func_poly_deg2",51,-0.304780069766353,0.127654986429261,0.220545877356044
"func_poly_deg2",52,0.00602886564395477,0.0184157844826686,0.0184521317036215
"func_poly_deg2",53,-0.106799765559317,0.0540436739660721,0.0654498638895972
"func_poly_deg2",54,-0.169252964842078,0.0473813902175213,0.076027956325355
"func_poly_deg2",55,-0.0508875555712047,0.188381627004013,0.190971170316025
"func_poly_deg2",56,-0.00170227233522707,0.0264572998678269,0.0264601975989302
