"Function","rho","test_id","bias","variance","mse"
"func_cos",0,1,-0.154859563086458,0.046270526903325,0.0702520111826537
"func_cos",0,2,-0.224360260272218,0.108570700317358,0.158908226706775
"func_cos",0,3,0.00646827541545891,0.00493921343892028,0.00498105202577051
"func_cos",0,4,-0.138987611636007,0.0150581550867766,0.0343757112750581
"func_cos",0,5,-0.00251919962668859,0.00455641442943879,0.0045627607961979
"func_cos",0,6,-0.0799627749591479,0.00642699579399167,0.012821041173159
"func_cos",0,7,-0.218607180056922,0.0669973368138673,0.114786435986307
"func_cos",0,8,-0.0650161158266447,0.059785763452948,0.0640128587701316
"func_cos",0,9,-0.185909949523139,0.0365003840664124,0.0710628933981086
"func_cos",0,10,-0.00666795357323768,0.0565509200652079,0.0565953816700627
"func_cos",0,11,-0.0879072898600392,0.0825762053014104,0.0903038969119473
"func_cos",0,12,-0.0598567348292654,0.0091334927366101,0.0127163214410311
"func_cos",0,13,0.0496959652538981,0.00366856830762672,0.00613825727014337
"func_cos",0,14,-0.0719058459714609,0.00999004008548771,0.0151604907703592
"func_cos",0,15,-0.106947063531367,0.0395665895042499,0.0510042639022321
"func_cos",0,16,0.0165944684646646,0.00229233469614544,0.00256771107977019
"func_cos",0,17,0.020733705651789,0.00887066761885559,0.00930055416891062
"func_cos",0,18,-0.0942378600888262,0.0242992919234878,0.0331800661976089
"func_cos",0,19,-0.00820070976746248,0.0041751660341924,0.00424241767488255
"func_cos",0,20,-0.0756145353415268,0.0580049523629121,0.0637225103178271
"func_cos",0,21,-0.115088674102951,0.0293391037658521,0.0425845066726275
"func_cos",0,22,-0.155191914740276,0.0798170157069486,0.103901546107702
"func_cos",0,23,-0.0937908458506095,0.040940373639728,0.0497370964051008
"func_cos",0,24,0.00464592435187711,0.0290678019868338,0.0290893865999172
"func_cos",0,25,0.0225091868307908,0.0199446026050932,0.0204512660968767
"func_cos",0,26,-0.106737170740017,0.02406899877149,0.0354618223890735
"func_cos",0,27,-0.115514723467649,0.0626553830411355,0.0759990343789429
"func_cos",0,28,-0.0380406972853383,0.0544856689071093,0.055932763557064
"func_cos",0,29,-0.00346081515829827,0.00540572232360195,0.00541769956516186
"func_cos",0,30,-0.214688711773931,0.0765233420436336,0.122614585006783
"func_cos",0,31,-0.0579657508713723,0.0130717422356842,0.0164317705097662
"func_cos",0,32,-0.0389893812250832,0.0364606873827529,0.0379808592310678
"func_cos",0,33,0.010105971295795,0.00476919402080462,0.00487132467663605
"func_cos",0,34,0.0534081288438661,0.00299098492421662,0.00584341315081962
"func_cos",0,35,-0.0929950932605186,0.0205705979975383,0.0292186853680708
"func_cos",0,36,-0.0343770949362217,0.0115474602171105,0.0127292448733645
"func_cos",0,37,0.00558915158911838,0.00298805342755524,0.00301929204304139
"func_cos",0,38,-0.0375715608774377,0.0109545713401724,0.0123661935269394
"func_cos",0,39,-0.0694491747688607,0.0131628161012317,0.0179860039773075
"func_cos",0,40,-0.0684500251398402,0.0560650892660643,0.0607504952077091
"func_cos",0,41,0.0698696891273589,0.00587285768449557,0.0107546311432494
"func_cos",0,42,-0.0492588290776109,0.0297775098834703,0.0322039421255676
"func_cos",0,43,0.0244525174849627,0.00230301353411217,0.00290093914546457
"func_cos",0,44,-0.053079165860146,0.0405238235867477,0.0433412214351566
"func_cos",0,45,-0.0224092116577323,0.0342590649155794,0.0347612376827005
"func_cos",0,46,-0.00869953247485775,0.00460254898018699,0.00467823084546809
"func_cos",0,47,-0.0837517975912779,0.0357460875860835,0.0427604511858539
"func_cos",0,48,-0.198713511441076,0.119347635025759,0.158834694655002
"func_cos",0,49,0.0472842812002145,0.00630707944163836,0.00854288269025932
"func_cos",0,50,-0.0456304185690497,0.0161044950406412,0.0181866301394279
"func_cos",0,51,0.0181077677429387,0.00813318442168584,0.00846107567431805
"func_cos",0,52,-0.0225449399358056,0.00689987693841472,0.0074081512551238
"func_cos",0,53,-0.0645797324709727,0.0262681198589382,0.0304386617049606
"func_cos",0,54,0.0830063940616348,0.0033261657190968,0.0102162271742122
"func_cos",0,55,-0.0986247979899185,0.0266579010759508,0.0363847518545031
"func_cos",0,56,-0.0710471734330991,0.03350688584053,0.0385545866933629
"func_cos",0,57,-0.149258244826107,0.0495865299340055,0.0718645535825755
"func_cos",0,58,-0.0926181567091066,0.00903264784950608,0.0176107708016987
