"Function","Noise","N_Train","N_Tree","Normal_Pct_Finite"
"func_xor_p50","t",200,200,18.5
"func_and_p50","normal",25,20,11.5
"func_and_p50","normal",25,50,17.5
"func_and_p50","normal",25,100,15.5
"func_and_p50","normal",25,150,23.5
"func_and_p50","normal",25,200,16
"func_and_p50","normal",50,20,22.5
"func_and_p50","normal",50,50,22.5
"func_and_p50","normal",50,100,24.5
"func_and_p50","normal",50,150,25
"func_and_p50","normal",50,200,21.5
"func_and_p50","normal",100,20,30
"func_and_p50","normal",100,50,32
"func_and_p50","normal",100,100,38
"func_and_p50","normal",100,150,35
"func_and_p50","normal",100,200,43
"func_and_p50","normal",150,20,25
"func_and_p50","normal",150,50,32
"func_and_p50","normal",150,100,38
"func_and_p50","normal",150,150,31.5
"func_and_p50","normal",150,200,31.5
"func_and_p50","normal",200,20,30.5
"func_and_p50","normal",200,50,36.5
"func_and_p50","normal",200,100,39
"func_and_p50","normal",200,150,37
"func_and_p50","normal",200,200,40
"func_and_p50","t",25,20,29
"func_and_p50","t",25,50,31
"func_and_p50","t",25,100,33.5
"func_and_p50","t",25,150,37.5
"func_and_p50","t",25,200,36.5
"func_and_p50","t",50,20,21
"func_and_p50","t",50,50,23
"func_and_p50","t",50,100,25
"func_and_p50","t",50,150,25.5
"func_and_p50","t",50,200,22
"func_and_p50","t",100,20,23.5
"func_and_p50","t",100,50,6
"func_and_p50","t",100,100,14
"func_and_p50","t",100,150,12.5
"func_and_p50","t",100,200,12
"func_and_p50","t",150,20,17.5
"func_and_p50","t",150,50,13.5
"func_and_p50","t",150,100,11.5
"func_and_p50","t",150,150,12.5
"func_and_p50","t",150,200,11
"func_and_p50","t",200,20,26
"func_and_p50","t",200,50,15
"func_and_p50","t",200,100,15.5
"func_and_p50","t",200,150,13
"func_and_p50","t",200,200,18.5
"func_and_p100","normal",25,20,1
"func_and_p100","normal",25,50,1
"func_and_p100","normal",25,100,4.5
"func_and_p100","normal",25,150,7
"func_and_p100","normal",25,200,8.5
"func_and_p100","normal",50,20,3.5
"func_and_p100","normal",50,50,8
"func_and_p100","normal",50,100,11.5
"func_and_p100","normal",50,150,16.5
"func_and_p100","normal",50,200,16.5
"func_and_p100","normal",100,20,6.5
"func_and_p100","normal",100,50,14
"func_and_p100","normal",100,100,21
"func_and_p100","normal",100,150,25
"func_and_p100","normal",100,200,19
"func_and_p100","normal",150,20,12
"func_and_p100","normal",150,50,16.5
